,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
32,3506-1,,Bakke 2-rum 395/500 ml 238x176x40 mm Oval PP Sort,Alubakke Ready2Cook 1896ml L293xB193xH45mm med Apet plastlåg 10 sæt sampak,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/3506-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/140562.jpg,krt,ps,krt,ps,240 stk/krt,10 stk/ps,240 stk/krt,10 stk/ps,5701022202698,5410555080269,Plus Pack har erstattet halvdelen af pp plasten med kridt hvilket giver en stor reduktion i udledningen af CO2. Derfor oprettet på-1 Låg 3583,Bakke findes på 105657 og låg på 38266-3,1,12,COLDFOOD,HOTFOOD,MICROWAVE,FOILCONT,Sort,,816,0.52,,,,,,,16,20,,,237.3,5069,238x176x40 mm,,,,155024703,192180200,43936.36811499999,15289.338524,,,,READY2COOK,,,474.5,10138,15,,558.25,11264.5,,E140100,E100010 - Deaktiveret,E140100 - Deaktiveret
33,140996,,Bakke Zen Tapas 1-rum Rektangulær 1134ml L320xB250xH20mm RPET Sort,Låg Ready2Cook 300x200x26 mm Lavt APET,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/140996.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/38266-3.jpg,,,krt,ps,2 ps x 60 stk/krt,100 stk/ps,2 ps x 60 stk/krt,2 ps x 100 stk/krt,5701022217395,5701022215513,Låg vnr. 140997,,1,2,COLDFOOD,HOTFOOD,SUSHITRAY,FOILCONT,Sort,Klar,98,2.4,C,B,,,,,,,,,276.5,12105,,,,,5020810200,5024100200,14891.14679,103502.05961700004,,,,READY2COOK,,,553,24210,10,,614.5,26900,,E140180,E100010 - Deaktiveret,E140180 - Deaktiveret
34,107463,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/107463.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/107463.jpg,,,,,,,,,,,,,,,,,,,,,692,6.92,,,,,,,,,,,281.53,28153,,,,,,,,,,,,,,,563,56306,10,,625.5,62562.25,,E140300,E100010 - Deaktiveret,E140300 - Deaktiveret
35,107464,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/107464.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/107464.jpg,,,,,,,,,,,,,,,,,,,,,65,6.5,,,,,,,,,,,287.39,28739,,,,,,,,,,,,,,,574.75,57478,10,,638.5,63864.5,,E140310,E100010 - Deaktiveret,E140310 - Deaktiveret
36,3516-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/3516-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/3516-1.jpg,,,,,,,,,,,,,,,,,,,,,1082,10.82,,,,,,,,,,,345.12,34512,,,,,,,,,,,,,,,690.25,69024,10,,767,76693.25,,E140320,E100010 - Deaktiveret,E140320 - Deaktiveret
37,37254,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/37254.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/37254.jpg,,,,,,,,,,,,,,,,,,,,,70,7,,,,,,,,,,,351.61,35161,,,,,,,,,,,,,,,703.25,70322,10,,781.5,78135.5,,E140330,E100010 - Deaktiveret,E140330 - Deaktiveret
38,37368-3,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/37368-3.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/37368-3.jpg,,,,,,,,,,,,,,,,,,,,,306,3.06,,,,,,,,,,,368.43,36843,,,,,,,,,,,,,,,736.75,73686,10,,818.5,81873.25,,E140340,E100010 - Deaktiveret,E140340 - Deaktiveret
39,107468,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/107468.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/107468.jpg,,,,,,,,,,,,,,,,,,,,,1237,12.37,,,,,,,,,,,463.12,46312,,,,,,,,,,,,,,,926.25,92624,10,,1029.25,102915.5,,E140350,E100010 - Deaktiveret,E140350 - Deaktiveret
40,125360,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/125360.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/125360.jpg,,,,,,,,,,,,,,,,,,,,,3694,3.694,,,,,,,,,,,526.06,52606,,,,,,,,,,,,,,,1052,105212,10,,1169,116902.25,,E140360,E100010 - Deaktiveret,E140360 - Deaktiveret
41,107054-1,,,,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/107054-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/107054-1.jpg,,,,,,,,,,,,,,,,,,,,,533,5.33,,,,,,,,,,,529.04,52904,,,,,,,,,,,,,,,1058,105808,10,,1175.5,117564.5,,E140370,E100010 - Deaktiveret,E140370 - Deaktiveret
